ID,project_name,long_name,url,esa_cci_path,orig_version,vname,time_coverage_start,time_coverage_end,time_coverage_resolution,update avaialble (Nov. 2019),new time_coverage_end,orig_version,new url
1,BESS,Diffuse Photosynthetically Active Radiation,http://environment.snu.ac.kr/bess_rad/,,15.10.2017,pardiff,2000-03-01,2016-12-30,P8D,no,,,
2,BESS,Downwelling shortwave radiation,http://environment.snu.ac.kr/bess_rad/,,15.10.2017,Rg,2000-03-01,2010-12-31,P8D,no,,,
3,BESS,Photosynthetically Active Radiation,http://environment.snu.ac.kr/bess_rad/,,15.10.2017,par,2000-03-01,2016-12-30,P8D,no,,,
4,ERA5,2 Metre Air Temperature,https://confluence.ecmwf.int//display/CKB/ERA5+data+documentation,,ERA5,air_temperature_2m,2000-01-05,2016-12-30,P8D,,,,
5,ERA5,ERA5 Precipitation,https://confluence.ecmwf.int//display/CKB/ERA5+data+documentation,,ERA5,precipitation_era5,2000-01-05,2016-12-30,P8D,,,,
6,ERA5,Maximum 2 Metre Air Temperature,https://confluence.ecmwf.int//display/CKB/ERA5+data+documentation,,ERA5,max_air_temperature_2m,2000-01-05,2016-12-30,P8D,,,,
7,ERA5,Minimum 2 Metre Air Temperature,https://confluence.ecmwf.int//display/CKB/ERA5+data+documentation,,ERA5,min_air_temperature_2m,2000-01-05,2016-12-30,P8D,,,,
8,ESA - Near-real time total ozone column (OMI),Residual MSR-FLT (Stratospheric Part Partial),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_msr_flt,2008-01-05,2011-12-31,P8D,yes,2019-11-05,no,
9,ESA - Near-real time total ozone column (OMI),Residual MSR-FLT (Stratospheric Part Partial),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,msr_flt,2008-01-05,2011-12-31,P8D,no,,,
10,ESA - Near-real time total ozone column (OMI),Residual MSR-LRT (Stratospheric Part Partial),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_msr_lrt,2008-01-05,2011-12-31,P8D,no,,,
11,ESA - Near-real time total ozone column (OMI),Residual MSR-LRT (Stratospheric Part Partial),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,msr_lrt,2008-01-05,2011-12-31,P8D,no,,,
12,ESA - Near-real time total ozone column (OMI),Surface Air Pressure,http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,psurf,2008-01-05,2011-12-31,P8D,no,,,
13,ESA - Near-real time total ozone column (OMI),Total Ozone Column (Assimilated TM5 data),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,totcol_assim,2008-01-05,2011-12-31,P8D,no,,,
14,ESA - Near-real time total ozone column (OMI),Total Ozone Column (Assimilated TM5 data),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,totcol_free,2008-01-05,2011-12-31,P8D,no,,,
15,ESA - Near-real time total ozone column (OMI),Total Ozone Column (MSR data),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,totcol_msr,2008-01-05,2011-12-31,P8D,no,,,
16,ESA - Near-real time total ozone column (OMI),Tropopause Air Pressure (Lapse Rate),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,lrt_p,2008-01-05,2011-12-31,P8D,no,,,
17,ESA - Near-real time total ozone column (OMI),Tropopause Air Pressure for the Fixed Altitude Tropopause,http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,fat_p,2008-01-05,2011-12-31,P8D,no,,,
18,ESA - Near-real time total ozone column (OMI),Tropopause Air Pressure for the Fixed Layer Tropopause,http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,flt_p,2008-01-05,2011-12-31,P8D,no,,,
19,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column,http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,flt_c,2008-01-05,2011-12-31,P8D,no,,,
20,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column ( Lapse Rate) ,http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_lrt_c,2008-01-05,2011-12-31,P8D,no,,,
21,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column (Fixed Altitude),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,fat_c,2008-01-05,2011-12-31,P8D,no,,,
22,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column (Fixed Altitude),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_fat_c,2008-01-05,2011-12-31,P8D,no,,,
23,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column (Fixed Layers),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,free_flt_c,2008-01-05,2011-12-31,P8D,no,,,
24,ESA - Near-real time total ozone column (OMI),Tropospheric Ozone Column (Lapse Rate),http://www.temis.nl/protocols/tropo.html,,v.1.2.3.1,lrt_c,2008-01-05,2011-12-31,P8D,no,,,
